AT;BRH;Bad Erlach;Bad Erlach;3;--3-----;RL;1401;;4744N 01612E;
AT;BFI;Bad Fischau;Bad Fischau;;-23-----;RL;607;;4750N 01610E;
AT;BGC;Bad Gleichenberg;Bad Gleichenberg;;--3-----;RL;1;;;
AT;BGM;Bad Goisern;Bad Goisern;4;--3-----;RQ;1101;;4738N 01337E;
AT;BHL;Bad Hall;Bad Hall;;--3-----;RL;601;;4802N 01412E;
AT;ICH;Bad Ischl;Bad Ischl;;--3-----;RL;201;;4742N 01336E;
AT;BKZ;Bad Kreuzen;Bad Kreuzen;;--3-----;RQ;9705;;;
AT;BFL;Bad Leonfelden;Bad Leonfelden;4;--3-----;RL;207;;4831N 01417E;
AT;BMF;Bad Mitterndorf;Bad Mitterndorf;6;--3-----;RQ;507;;4733N 01355E;
AT;BKB;Bad Radkersburg;Bad Radkersburg;6;--3-----;RQ;1101;;4641N 01559E;
AT;BSL;Bad Sankt Leonhard im Lavanttal;Bad Sankt Leonhard im Lavanttal;2;-23-----;RL;212;;4657N 01447E;
AT;BSB;Bad Sauerbrunn;Bad Sauerbrunn;1;--3-----;RL;1207;;4746N 01620E;
AT;BSH;Bad Schallerbach;Bad Schallerbach;4;--3-----;RQ;1101;;4814N 01355E;
AT;BVU;Bad Vigaun;Bad Vigaun;5;--3-----;RL;1307;;4740N 01308E;
AT;BVL;Bad Vöslau;Bad Voslau;;--3-----;RL;201;;4757N 01613E;
AT;BWN;Bad Wimsbach-Neydharting;Bad Wimsbach-Neydharting;4;--3-----;RL;1407;;4804N 01354E;
AT;BDN;Baden;Baden;;--3-----;RL;201;;4800N 01614E;
AT;6KS;Badendorf;Badendorf;6;--3-----;RL;1507;;4651N 01536E;
AT;BDS;Badersdorf;Badersdorf;1;--3-----;RL;1207;;4712N 01622E;
AT;BGA;Badgastein;Badgastein;5;-23-5---;RL;1401;;4707N 01308E;
