LC;CAS;Castries;Castries;;1-3-----;RL;212;;1401N 06058W
LC;CDS;Cul de Sac;Cul de Sac;;1-------;RQ;9506;;
LC;GRI;Gros Islet;Gros Islet;6;--3-----;RL;1507;;1404N 06057W
LC;UVF;Hewanorra Intl  Apt;Hewanorra Intl  Apt;11;---4----;AI;1501;;1343N 06057W
LC;SLU;Saint Lucia Apt;Saint Lucia Apt;;---45---;AI;1101;;1342N 06056W
LC;VIF;Vieux Fort;Vieux Fort;;1-------;RQ;9506;;
